file,prompt,name,alt,ar,position
,"A fresh chicken salad bowl with grilled chicken strips, lettuce, tomato and cucumber, natural light, kitchen table.",ensalada-de-pollo-fresca-bol,"Ensalada de pollo fresca con pechuga a la plancha, lechuga, tomate y pepino, servida en un bol",4:3,center
,"Fresh handmade egg pasta noodles draped over a wooden rack dusted with flour, kitchen counter, natural light.",fideos-caseros-de-huevo-tendidos,Fideos caseros de harina y huevo colgados a secar sobre un tender de madera espolvoreado con harina,4:3,center
,"A bowl of white corn kaguyjy porridge with cinnamon and orange peel, wooden table, warm natural light.",kaguyjy-mazamorra-de-maiz,"Kaguyjy, mazamorra paraguaya de maíz blanco con canela, servida en un bol de barro sobre la mesa",4:3,center
,"A breaded beef milanesa topped with melted cheese and tomato sauce, gratin bubbling, kitchen table, natural light.",milanesa-napolitana-gratinada,"Milanesa napolitana crocante abajo y gratinada arriba con queso y salsa de tomate, en un plato",4:3,center
,"A plate of homemade potato gnocchi with tomato sauce and grated cheese, kitchen table, natural light.",noquis-caseros-de-papa-con-salsa,"Ñoquis caseros de papa suaves bañados en salsa de tomate y queso rallado, servidos en un plato",4:3,center
,"Crispy roasted potato wedges with rosemary on a baking tray, quincho table, natural light.",papas-al-horno-crocantes-romero,"Papas al horno crocantes por fuera con romero, servidas en una fuente sobre la mesa",4:3,center
,"A gratinated potato and ground beef pie in a baking dish, golden top, kitchen table, natural light.",pastel-de-papa-con-carne-gratinado,"Pastel de papa con carne picada gratinado al horno, servido en una fuente sobre la mesa",4:3,center
,"A pan of smooth white bechamel sauce being stirred with a wooden spoon, kitchen counter, natural light.",salsa-blanca-casera-en-cacerola,"Salsa blanca casera lisa y sin grumos, revuelta con una cuchara de madera en una cacerola",4:3,center
,"A moist coconut cake with toasted coconut topping, one slice cut, kitchen table, warm natural light.",torta-de-coco-humeda-cortada,"Torta de coco húmeda con cobertura de coco tostado, con una porción cortada sobre la mesa",4:3,center
,"Golden French toast slices topped with dulce de leche and strawberries, kitchen table, bright natural light.",tostadas-francesas-con-dulce-de-leche,"Tostadas francesas doradas con dulce de leche y frutillas, servidas en un plato para el desayuno",4:3,center
,"Baked stuffed round squash filled with ground beef and gratinated cheese on a baking tray, kitchen table, natural light.",zapallitos-rellenos-de-carne-gratinados,"Zapallitos rellenos de carne gratinados al horno, servidos en una fuente sobre la mesa",4:3,center
